Stadium,Capacity,City_State,Country,Region,Tenants,Sports,Image,Location
Narendra Modi Stadium,132000,"Ahmedabad,Gujarat",India,South Asia,"India National Cricket Team,India Womens National Cricket Team,Gujarat Titans,Gujarat Cricket Team",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg/150px-Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg,"(23.0917717, 72.59733447335586)"
Rungrado 1St Of May Stadium,114000,Pyongyang,North Korea,East Asia,North Korea National Football Team,"Football,Athletics,Mass Games",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Views_from_Yanggakdo_International_Hotel_10.JPG/150px-Views_from_Yanggakdo_International_Hotel_10.JPG,"(39.0496732, 125.77532151186813)"
Michigan Stadium,107601,"Ann Arbor, Michigan",United States,North America,Michigan Wolverines Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/MichStadium_Renovation1.jpg/150px-MichStadium_Renovation1.jpg,"(42.2658652, -83.74868376764053)"
Beaver Stadium,106572,"State College, Pennsylvania",United States,North America,Penn State Nittany Lions Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Beaver_Stadium_Whiteout_2018_Pregame.jpg/150px-Beaver_Stadium_Whiteout_2018_Pregame.jpg,"(40.812074249999995, -77.85494312546311)"
Ohio Stadium,102780,"Columbus, Ohio",United States,North America,Ohio State Buckeyes Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Columbus%2C_Ohio_-_Highsmith_21.jpg/150px-Columbus%2C_Ohio_-_Highsmith_21.jpg,"(40.00164575, -83.01973744224524)"
Kyle Field,102733,"College Station, Texas",United States,North America,Texas Am Aggies Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Kyle_Field_Panorama.jpg/150px-Kyle_Field_Panorama.jpg,"(30.6098548, -96.34036975830077)"
Tiger Stadium,102321,"Baton Rouge, Louisiana",United States,North America,Lsu Tigers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Tiger_Stadium_South_End_Zone_-_New.jpg/150px-Tiger_Stadium_South_End_Zone_-_New.jpg,"(30.41197725, -91.18383029663619)"
Neyland Stadium,101915,"Knoxville, Tennessee",United States,North America,Tennessee Volunteers Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Neylandstadium.jpg/150px-Neylandstadium.jpg,"(35.95507225, -83.92597862254219)"
Darrell K Royaltexas Memorial Stadium,100119,"Austin, Texas",United States,North America,Texas Longhorns Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg/150px-Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg,"(None, None)"
Bryantdenny Stadium,100077,"Tuscaloosa, Alabama",United States,North America,Alabama Crimson Tide Football,American Football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bryant-Denny_Stadium_panoramic_2010-10-02.jpg/150px-Bryant-Denny_Stadium_panoramic_2010-10-02.jpg,"(33.2095614, -87.5675258)"
